names,scores,logfoldchanges,pvals,pvals_adj
HIRIP3,1.3656199,0.07141868,0.1720582910612788,0.2822696821100911
ZNF333,1.365496,0.2568513,0.17209719567246695,0.2822948320984996
GPATCH1,1.3633167,0.085010074,0.17278274880303968,0.2833316112148443
ZNF114,1.363028,0.7830193,0.17287368564324612,0.2834301046607413
GIMAP6,1.3599172,-0.042764958,0.17385613334234673,0.28488821635866385
MTRF1,1.3592701,0.21978419,0.17406100545333414,0.28519847591724684
DUSP9,1.3589258,0.6680751,0.1741701010078498,0.28535176448693944
SRGAP2B,1.3558131,0.095831096,0.1751586338030422,0.2867921950470535
LRRC37A,1.3545207,0.6844081,0.17557031509291543,0.2874406201891235
TRABD2A,1.3537728,0.4164847,0.17580887424827796,0.2878055224743787
H2BC17,1.353481,0.7921739,0.17590200568236725,0.28790664345997014
CDH24,1.3529551,0.118084066,0.17606998417550035,0.288155894415399
GOLT1A,1.3520855,0.42446142,0.17634795665988423,0.2885593826069097
RAET1G,1.3505771,0.49058273,0.17683093927611715,0.28919505442672017
SPHK2,1.3502083,-0.00843047,0.17694918852637131,0.2893369000385345
AL445524.2,1.3496418,0.5316229,0.1771309045416477,0.28960824027508403
ALOX12,1.3494956,1.3025657,0.17717781578621916,0.28965914661657644
NEFH,1.3481904,0.81613916,0.177597148966968,0.2902929985028487
CRCT1,1.3474902,1.9174719,0.17782239438720804,0.2906353020601324
POLR2J3,1.3470417,0.26535037,0.17796679461375742,0.29079658821629695
GRIN3A,1.3470361,1.9667833,0.17796858895411627,0.29079658821629695
FKBP5,1.3463324,0.15844595,0.1781953224168934,0.2911152517925598
CALB1,1.3456546,2.7646148,0.17841394135898792,0.2914205477530804
PLK1,1.3440212,0.2780433,0.17894154289600284,0.2921004328870473
MON2,1.3433236,0.085482545,0.17916721411559622,0.29244281432807023
MDH1,1.3423147,0.102326885,0.17949395846673477,0.29295009523624155
PNP,1.3421892,-0.017208884,0.17953465202928054,0.2929664911987502
BCL2L14,1.3416765,0.89123803,0.17970092875106147,0.2931836460634654
SNX3,1.3405547,0.08486383,0.18006507693746465,0.29372555771577724
MRE11,1.3396134,0.042273697,0.18037104659754344,0.29414626401789634
SP6,1.3386587,0.78733283,0.18068181789493765,0.2945222708069025
GPR37,1.3378382,0.23935167,0.18094920168442585,0.29485341605677523
LEMD1,1.3369608,0.36416557,0.18123542993007258,0.295267411618994
GCHFR,1.3357072,0.043282285,0.1816449969656304,0.29588216725389815
MPND,1.3347574,0.17900619,0.1819557540619816,0.29627473307640645
CSTF3,1.3347039,0.050109427,0.18197326638017408,0.29627473307640645
SERINC5,1.334682,0.064074904,0.18198044192716678,0.29627473307640645
MBTD1,1.3331517,0.03327924,0.18248203323417733,0.2970084755086189
TDG,1.3327649,0.084421866,0.18260899330514835,0.2971624325158051
NKX1-2,1.3324461,4.3722844,0.18271363369845905,0.29730636550313777
BUD13,1.3283961,0.08833117,0.18404728217796762,0.2992907756682015
MS4A14,1.3274397,0.7381095,0.1843632897281089,0.299751559611955
LSM12,1.3264011,0.105565704,0.18470687334545555,0.30023042683214496
AGPAT3,1.326024,0.06946767,0.18483171774859675,0.300380170789696
ZNF678,1.3257691,-0.057239763,0.18491619223531897,0.3004908580965299
CBWD2,1.3251683,0.059941474,0.18511534010790376,0.30076123880375377
ALOX12B,1.3243662,1.5583857,0.18538146670602929,0.3010605202681968
ATXN3,1.324366,0.07979458,0.1853815283564203,0.3010605202681968
SUPT7L,1.3233887,0.03183682,0.18570614272360253,0.30153435501839987
FKBP14,1.3224287,0.123429455,0.18602542891449325,0.30199273156018347
SYCP2L,1.3223422,1.0898056,0.18605423339735283,0.30199273156018347
SMC3,1.3213235,0.090604044,0.1863935210951897,0.30246322941482795
TMF1,1.3196492,0.12825496,0.1869521582352971,0.3032357400493189
EFNA4,1.319524,0.12692319,0.18699397396996487,0.3032767737887576
WASHC5,1.3190564,0.09263281,0.18715025469368085,0.3034498257180037
FP565260.3,1.3166767,0.7552084,0.1879469932547545,0.30471476760711236
AC001226.2,1.3150063,0.8135395,0.18850781429470442,0.3055700519347636
SIRPB2,1.3144994,0.54413867,0.18867820602916607,0.3058192567886227
NDC1,1.3134519,-0.039395683,0.18903071300489238,0.30627310588559703
FECH,1.3134371,0.17452307,0.18903571659391727,0.30627310588559703
GMCL1,1.3134072,0.112431906,0.18904578661282212,0.30627310588559703
ANKMY2,1.31337,0.016675668,0.18905829650385908,0.30627310588559703
GRK3,1.3131019,0.36188114,0.1891486360279987,0.3063924222417366
ZNF165,1.3118129,0.27888626,0.18958326031488493,0.30704227243905813
C3orf70,1.3112426,0.2143388,0.1897758193989768,0.30729992239038834
MED17,1.3100815,0.123681955,0.19016828005852993,0.30779969941419855
C16orf91,1.3094147,0.08815895,0.1903939073538211,0.308110570502689
PIK3R4,1.308238,0.030175624,0.19079259839871232,0.30868056600109156
PRDM10,1.30637,0.24359258,0.19142675686779032,0.3095910052716901
ZBTB2,1.306214,0.16146038,0.1914797890805091,0.309649498617864
PROX1,1.3061018,0.6444608,0.1915179284463896,0.30968389997394624
CDCA7,1.3049636,-0.04244844,0.19190525810015147,0.31025556431952817
SALL4,1.3046347,0.71679914,0.19201728581935984,0.31038202173864476
PDLIM2,1.3037919,-0.0019329146,0.19230456446378186,0.31066783796992437
PAFAH2,1.303791,0.18002068,0.19230481782357267,0.31066783796992437
IGFL1,1.3037887,1.7645335,0.19230564124458738,0.31066783796992437
COX15,1.3037684,0.12660882,0.19231254541507325,0.31066783796992437
BPNT1,1.3007947,0.035138264,0.19332874228530883,0.312172107739034
FCHO1,1.2987047,0.21201064,0.19404526684658463,0.31327399495033326
DENND4C,1.2976016,0.09754037,0.1944242761101439,0.3137755237460097
SLC25A30,1.2967517,0.20715626,0.19471662383960475,0.31419210214596915
SCAMP2,1.2955111,0.100925334,0.19514396899530262,0.31479866585158595
MANEA,1.2928658,0.07191421,0.19605750834706126,0.3161612428210427
PDPR,1.2916149,0.0694743,0.19649054729663595,0.3167742163924552
FGF11,1.2915684,0.52606267,0.1965066349714103,0.3167742163924552
AMPD2,1.2913803,0.17029868,0.19657183210460116,0.3168236841004724
GAST,1.2909273,4.59034,0.19672887222755053,0.3170179054484812
MRPL44,1.290862,0.15214677,0.19675154406931372,0.3170179054484812
DEPDC1,1.2908599,0.28888184,0.19675225259519835,0.3170179054484812
RPS6KA4,1.2906963,0.08736066,0.19680900514513666,0.3170394857012476
PLGRKT,1.2906954,0.10561043,0.19680932727099942,0.3170394857012476
IL21,1.2904669,2.274941,0.19688858196326375,0.3171393326982618
SCNN1D,1.2898233,1.3092947,0.1971120383690611,0.31747141548195884
ZNF548,1.2878964,0.11283276,0.1977820343271779,0.318426168519056
TNRC6A,1.2869914,0.069672026,0.19809729701973566,0.3188624941333713
SLC50A1,1.2868812,0.11207473,0.19813568670900294,0.3188963309663397
BLOC1S6,1.2868046,0.16430907,0.19816242675593154,0.3189114135915207
CCL17,1.2861652,1.6302139,0.19838538473454093,0.31918629943137977
ARHGAP8,1.2858287,0.013036101,0.19850283199204,0.31931930070140585
TTI1,1.2852392,0.032452796,0.19870868165126876,0.31962243572483096
MAP3K11,1.2847538,0.122874245,0.1988783296816905,0.31981126390659653
SH3D21,1.2839755,0.28822243,0.1991505455686553,0.3201929218201471
GPC2,1.2834423,0.76570773,0.19933718125628364,0.32040882299278856
CCDC73,1.2829226,2.2375374,0.1995191943512704,0.32067331298001367
EFS,1.2822354,0.04252117,0.19976006996682327,0.32096607770927443
HUNK,1.2822034,0.13138361,0.19977127259199323,0.32096607770927443
C2CD4D,1.2820696,0.52513766,0.1998182374267793,0.3210134445177264
DHX37,1.280678,0.081768,0.20030679740034663,0.3216857436427678
WNT3A,1.2781254,0.35847056,0.20120520197022007,0.3229532549383914
ARHGAP26,1.2780598,0.10497426,0.201228315188565,0.3229532549383914
TELO2,1.2779115,-0.007151324,0.20128063809643937,0.3229954375186788
ARFGEF1,1.2772881,0.067469545,0.20150058132927384,0.32326362374720813
ZSCAN9,1.2755446,0.12856713,0.20211652703027305,0.32416680230632805
ARMC5,1.2746415,0.14368795,0.20243616106066342,0.3245975529671191
MARS1,1.2735766,0.13037376,0.202813516966735,0.3250859000459381
NEURL3,1.2717216,1.0594707,0.2034720527920998,0.3260560622548214
CCDC58,1.2713592,0.10764635,0.20360086902632035,0.32623401310692624
GEMIN2,1.2699468,0.030042542,0.20410356154930054,0.32692536801942834
CHRNA5,1.2688465,0.26680547,0.20449583104689173,0.3274679883003645
NUP188,1.2666633,0.07295032,0.2052757031161725,0.32854490802964115
ALDOC,1.265224,0.24965177,0.2057910491339252,0.3292549192356222
GGCT,1.2636422,0.17179537,0.2063584811966639,0.3301052511981134
MAPK9,1.2631689,0.047520872,0.20652845838131884,0.3302620644782612
HNRNPUL1,1.2629595,0.11190783,0.20660373976247415,0.33035367637192264
